n,mean,ci95_low,ci95_high,factor,contrast,metric
600,38.5475,28.800598,48.294402,resource_complementarity,0.9 minus 0.1,cooperation_duration
600,-0.055,-0.062563,-0.047437,resource_complementarity,0.9 minus 0.1,protocol_adoption_rate
600,-0.4325,-0.580709,-0.284291,resource_complementarity,0.9 minus 0.1,contract_violation_rate
600,-0.044167,-0.058354,-0.02998,resource_complementarity,0.9 minus 0.1,survival_rate
600,0.0,0.0,0.0,resource_complementarity,0.9 minus 0.1,common_collapse_rate
600,-0.009938,-0.010796,-0.00908,resource_complementarity,0.9 minus 0.1,persistent_hostility
600,-15.125,-16.725239,-13.524761,resource_complementarity,0.9 minus 0.1,attack_count
600,-2.791667,-4.703477,-0.879856,common_external_threat,0.9 minus 0.1,cooperation_duration
600,0.0,0.0,0.0,common_external_threat,0.9 minus 0.1,protocol_adoption_rate
600,0.003333,-0.007507,0.014173,common_external_threat,0.9 minus 0.1,contract_violation_rate
600,-0.0025,-0.005552,0.000552,common_external_threat,0.9 minus 0.1,survival_rate
600,0.0,0.0,0.0,common_external_threat,0.9 minus 0.1,common_collapse_rate
600,-0.000137,-0.000289,1.5e-05,common_external_threat,0.9 minus 0.1,persistent_hostility
600,-0.42,-0.758665,-0.081335,common_external_threat,0.9 minus 0.1,attack_count
360,1.491667,1.419755,1.563579,protocol_package,communication_only minus no_protocol,cooperation_duration
360,0.15,0.144828,0.155172,protocol_package,communication_only minus no_protocol,protocol_adoption_rate
360,0.377778,0.225061,0.530495,protocol_package,communication_only minus no_protocol,contract_violation_rate
360,0.001389,-0.010014,0.012792,protocol_package,communication_only minus no_protocol,survival_rate
360,0.0,0.0,0.0,protocol_package,communication_only minus no_protocol,common_collapse_rate
360,0.000288,-9.7e-05,0.000672,protocol_package,communication_only minus no_protocol,persistent_hostility
360,1.811111,0.994778,2.627444,protocol_package,communication_only minus no_protocol,attack_count
360,157.625,144.645678,170.604322,protocol_package,identity_and_trade minus no_protocol,cooperation_duration
360,0.173611,0.164878,0.182345,protocol_package,identity_and_trade minus no_protocol,protocol_adoption_rate
360,0.497222,0.23732,0.757124,protocol_package,identity_and_trade minus no_protocol,contract_violation_rate
360,0.0,-0.010558,0.010558,protocol_package,identity_and_trade minus no_protocol,survival_rate
360,0.0,0.0,0.0,protocol_package,identity_and_trade minus no_protocol,common_collapse_rate
360,-0.000317,-0.000672,3.7e-05,protocol_package,identity_and_trade minus no_protocol,persistent_hostility
360,0.927778,0.256136,1.59942,protocol_package,identity_and_trade minus no_protocol,attack_count
360,153.025,140.256712,165.793288,protocol_package,auditable_contract minus no_protocol,cooperation_duration
360,0.173611,0.164878,0.182345,protocol_package,auditable_contract minus no_protocol,protocol_adoption_rate
360,0.288889,0.158843,0.418935,protocol_package,auditable_contract minus no_protocol,contract_violation_rate
360,-0.005556,-0.017107,0.005996,protocol_package,auditable_contract minus no_protocol,survival_rate
360,0.0,0.0,0.0,protocol_package,auditable_contract minus no_protocol,common_collapse_rate
360,-0.000434,-0.000823,-4.5e-05,protocol_package,auditable_contract minus no_protocol,persistent_hostility
360,0.072222,-0.580568,0.725012,protocol_package,auditable_contract minus no_protocol,attack_count
360,152.216667,139.463107,164.970226,protocol_package,enforceable_contract minus no_protocol,cooperation_duration
360,0.173611,0.164878,0.182345,protocol_package,enforceable_contract minus no_protocol,protocol_adoption_rate
360,0.277778,0.154627,0.400929,protocol_package,enforceable_contract minus no_protocol,contract_violation_rate
360,-0.001389,-0.013426,0.010648,protocol_package,enforceable_contract minus no_protocol,survival_rate
360,0.0,0.0,0.0,protocol_package,enforceable_contract minus no_protocol,common_collapse_rate
360,-0.000495,-0.000873,-0.000116,protocol_package,enforceable_contract minus no_protocol,persistent_hostility
360,-0.116667,-0.704603,0.47127,protocol_package,enforceable_contract minus no_protocol,attack_count
