factor,level,survival_rate_mean,survival_rate_std,survival_rate_count,independent_recovery_rate_mean,independent_recovery_rate_std,independent_recovery_rate_count,migration_success_rate_mean,migration_success_rate_std,migration_success_rate_count,unauthorized_update_rejection_rate_mean,unauthorized_update_rejection_rate_std,unauthorized_update_rejection_rate_count,identity_continuity_score_mean,identity_continuity_score_std,identity_continuity_score_count,persistent_hostility_mean,persistent_hostility_std,persistent_hostility_count,attack_count_mean,attack_count_std,attack_count_count,cooperation_duration_mean,cooperation_duration_std,cooperation_duration_count,protocol_adoption_rate_mean,protocol_adoption_rate_std,protocol_adoption_rate_count,common_collapse_rate_mean,common_collapse_rate_std,common_collapse_rate_count
commitment_verifiability,auditable,0.43125,0.1600030047794776,40,0.4416666666666666,0.2656765807971142,40,0.0,0.0,40,0.0,0.0,40,0.8623322410293055,0.0,40,0.016665637414262864,0.013038709682327216,40,19.575,23.44320742473125,40,93.825,97.0901345697349,40,0.1916666666666666,0.060270047556631595,40,0.0,0.0,40
commitment_verifiability,enforceable,0.43125,0.1600030047794776,40,0.4416666666666666,0.2656765807971142,40,0.0,0.0,40,0.0,0.0,40,0.8623322410293055,0.0,40,0.016665637414262864,0.013038709682327216,40,19.575,23.44320742473125,40,93.825,97.0901345697349,40,0.1916666666666666,0.060270047556631595,40,0.0,0.0,40
commitment_verifiability,unverifiable,0.43125,0.1600030047794776,40,0.4416666666666666,0.2656765807971142,40,0.0,0.0,40,0.0,0.0,40,0.8623322410293055,0.0,40,0.016665637414262864,0.013038709682327216,40,19.575,23.44320742473125,40,93.825,97.0901345697349,40,0.1916666666666666,0.060270047556631595,40,0.0,0.0,40
common_external_threat,0.0,0.43125,0.1600030047794776,40,0.4333333333333333,0.2636582437847706,40,0.0,0.0,40,0.0,0.0,40,0.8623322410293055,0.0,40,0.01648891934941504,0.012873450287957278,40,19.35,23.324412213991696,40,93.3125,96.15556889482365,40,0.1916666666666666,0.060270047556631595,40,0.0,0.0,40
common_external_threat,0.125,0.43125,0.1600030047794776,40,0.4416666666666666,0.2656765807971142,40,0.0,0.0,40,0.0,0.0,40,0.8623322410293055,0.0,40,0.016744809155705732,0.012999160821550376,40,19.55,23.355612074715904,40,93.0125,96.0824624129364,40,0.1916666666666666,0.060270047556631595,40,0.0,0.0,40
common_external_threat,0.25,0.43125,0.1600030047794776,40,0.4416666666666666,0.2656765807971142,40,0.0,0.0,40,0.0,0.0,40,0.8623322410293055,0.0,40,0.01673062493202947,0.01297988172553961,40,19.575,23.381877159184192,40,93.7375,96.98175796615119,40,0.1916666666666666,0.060270047556631595,40,0.0,0.0,40
common_external_threat,0.375,0.43125,0.1600030047794776,40,0.4416666666666666,0.2656765807971142,40,0.0,0.0,40,0.0,0.0,40,0.8623322410293055,0.0,40,0.016719132644159473,0.012969053987430167,40,19.5,23.3238075793812,40,93.925,97.23171833965525,40,0.1916666666666666,0.060270047556631595,40,0.0,0.0,40
common_external_threat,0.5,0.43125,0.1600030047794776,40,0.4416666666666666,0.2656765807971142,40,0.0,0.0,40,0.0,0.0,40,0.8623322410293055,0.0,40,0.016665637414262864,0.013038709682327216,40,19.575,23.44320742473125,40,93.825,97.0901345697349,40,0.1916666666666666,0.060270047556631595,40,0.0,0.0,40
common_external_threat,0.625,0.43125,0.1600030047794776,40,0.4416666666666666,0.2656765807971142,40,0.0,0.0,40,0.0,0.0,40,0.8623322410293055,0.0,40,0.016715514191596854,0.013020697567935354,40,19.55,23.334743547128525,40,93.9625,97.27119026272992,40,0.1916666666666666,0.060270047556631595,40,0.0,0.0,40
common_external_threat,0.75,0.4375,0.1674660317642709,40,0.45,0.2674134841588425,40,0.0,0.0,40,0.0,0.0,40,0.8623322410293055,0.0,40,0.0168409273621827,0.012856807059159795,40,19.525,23.277575320907303,40,94.125,97.48167151855408,40,0.1916666666666666,0.060270047556631595,40,0.0,0.0,40
