n,mean,ci95_low,ci95_high,factor,contrast,metric
1728,-0.000701,-0.001115,-0.000287,resource_coverage_ratio,0.55 minus 1.3,persistent_hostility
1728,-18.296875,-20.460015,-16.133735,resource_coverage_ratio,0.55 minus 1.3,attack_count
1728,-20.130538,-22.695344,-17.565731,resource_coverage_ratio,0.55 minus 1.3,targeted_harm
1728,-0.42853,-0.445066,-0.411994,resource_coverage_ratio,0.55 minus 1.3,survival_rate
1728,0.50463,0.481049,0.528211,resource_coverage_ratio,0.55 minus 1.3,common_collapse_rate
1728,-47.716088,-52.449578,-42.982598,resource_coverage_ratio,0.55 minus 1.3,cooperation_duration
2304,0.000548,0.000446,0.00065,value_distance,0.9 minus 0.1,persistent_hostility
2304,1.992622,1.591919,2.393324,value_distance,0.9 minus 0.1,attack_count
2304,1.978357,1.513684,2.443031,value_distance,0.9 minus 0.1,targeted_harm
2304,0.0,-0.001702,0.001702,value_distance,0.9 minus 0.1,survival_rate
2304,-0.000868,-0.006639,0.004903,value_distance,0.9 minus 0.1,common_collapse_rate
2304,0.073785,-0.075516,0.223085,value_distance,0.9 minus 0.1,cooperation_duration
2304,-0.0055,-0.005897,-0.005102,production_concentration_factor,0.9 minus 0.1,persistent_hostility
2304,-11.324653,-12.630442,-10.018864,production_concentration_factor,0.9 minus 0.1,attack_count
2304,-11.952067,-13.479901,-10.424232,production_concentration_factor,0.9 minus 0.1,targeted_harm
2304,-0.119466,-0.132759,-0.106174,production_concentration_factor,0.9 minus 0.1,survival_rate
2304,-0.297743,-0.316419,-0.279067,production_concentration_factor,0.9 minus 0.1,common_collapse_rate
2304,-32.270139,-35.589563,-28.950714,production_concentration_factor,0.9 minus 0.1,cooperation_duration
2304,-1.2e-05,-8.7e-05,6.2e-05,institution,weak minus enforceable,persistent_hostility
2304,-0.08941,-0.166015,-0.012804,institution,weak minus enforceable,attack_count
2304,-0.079038,-0.150288,-0.007788,institution,weak minus enforceable,targeted_harm
2304,0.001628,-0.001372,0.004628,institution,weak minus enforceable,survival_rate
2304,0.001736,-0.004159,0.007631,institution,weak minus enforceable,common_collapse_rate
2304,-48.916298,-52.819131,-45.013464,institution,weak minus enforceable,cooperation_duration
1728,0.035973,0.035479,0.036467,policy_label,opportunistic minus cooperative,persistent_hostility
1728,40.130208,37.944286,42.31613,policy_label,opportunistic minus cooperative,attack_count
1728,47.673967,45.043703,50.304231,policy_label,opportunistic minus cooperative,targeted_harm
1728,-0.375868,-0.391122,-0.360614,policy_label,opportunistic minus cooperative,survival_rate
1728,0.371528,0.348738,0.394318,policy_label,opportunistic minus cooperative,common_collapse_rate
1728,-93.752488,-99.35488,-88.150096,policy_label,opportunistic minus cooperative,cooperation_duration
