factor,level,survival_rate_mean,survival_rate_std,survival_rate_count,plural_survival_mean,plural_survival_std,plural_survival_count,survivor_entropy_mean,survivor_entropy_std,survivor_entropy_count,dominant_survivor_resource_share_mean,dominant_survivor_resource_share_std,dominant_survivor_resource_share_count,attack_rate_per_1000_opportunities_mean,attack_rate_per_1000_opportunities_std,attack_rate_per_1000_opportunities_count,persistent_conflict_pair_share_mean,persistent_conflict_pair_share_std,persistent_conflict_pair_share_count,adaptation_success_rate_mean,adaptation_success_rate_std,adaptation_success_rate_count,independent_recovery_rate_mean,independent_recovery_rate_std,independent_recovery_rate_count,cooperation_duration_mean,cooperation_duration_std,cooperation_duration_count,protocol_adoption_rate_mean,protocol_adoption_rate_std,protocol_adoption_rate_count,value_convergence_mean,value_convergence_std,value_convergence_count
commitment_verifiability,auditable,0.1527777777777777,0.06804138174397716,24,0.041666666666666664,0.2041241452319315,24,0.004036229358646912,0.019773404827051873,24,0.8732590808749748,0.33726698793831245,24,2.4446215971229486,2.579927257757426,24,0.0,0.0,24,0.0,0.0,24,0.0,0.0,24,2.0625,5.263311282089813,24,0.01388888888888888,0.03393182518027008,24,0.0,0.0,24
commitment_verifiability,enforceable,0.1527777777777777,0.06804138174397716,24,0.041666666666666664,0.2041241452319315,24,0.004034471040622696,0.019764790863122137,24,0.8732600864842315,0.33726725230483134,24,1.672016192278555,1.9792234106327624,24,0.0,0.0,24,0.0,0.0,24,0.0,0.0,24,2.0625,5.263311282089813,24,0.01388888888888888,0.03393182518027008,24,0.0,0.0,24
commitment_verifiability,unverifiable,0.13888888888888884,0.08025723539051277,24,0.041666666666666664,0.2041241452319315,24,0.004036229358646912,0.019773404827051873,24,0.7899257475416416,0.4140256841093954,24,2.8257157496043726,2.776465239809501,24,0.0,0.0,24,0.0,0.0,24,0.0,0.0,24,2.0625,5.263311282089813,24,0.01388888888888888,0.03393182518027008,24,0.0,0.0,24
common_external_threat,0.0,0.18749999999999997,0.07473786719107343,24,0.16666666666666666,0.3806934938134405,24,0.048358441856718025,0.11940172045821033,24,0.9146921926561076,0.22549918545466835,24,2.686332009783357,2.6645196396583968,24,0.0,0.0,24,0.0,0.0,24,0.0,0.0,24,47.8125,121.79641000099483,24,0.027777777777777752,0.03890613834145096,24,0.0,0.0,24
common_external_threat,0.25,0.15277777777777773,0.10897709135971573,24,0.16666666666666666,0.3806934938134405,24,0.048212889245196434,0.11931524178440317,24,0.706464445511442,0.43116041955241124,24,2.605570035364666,2.5893234449038838,24,0.0,0.0,24,0.0,0.0,24,0.0,0.0,24,47.604166666666664,121.87707448996255,24,0.024999999999999977,0.038385283009127594,24,0.0,0.0,24
common_external_threat,0.5,0.1527777777777777,0.06804138174397716,24,0.041666666666666664,0.2041241452319315,24,0.004036229358646912,0.019773404827051873,24,0.8732590808749748,0.33726698793831245,24,2.4446215971229486,2.579927257757426,24,0.0,0.0,24,0.0,0.0,24,0.0,0.0,24,2.0625,5.263311282089813,24,0.01388888888888888,0.03393182518027008,24,0.0,0.0,24
common_external_threat,0.75,0.1527777777777777,0.06804138174397716,24,0.041666666666666664,0.2041241452319315,24,0.0037967525767836543,0.018600212985434322,24,0.8733942610556724,0.33730316912790076,24,2.083163250093764,2.4219253073571685,24,0.0,0.0,24,0.0,0.0,24,0.0,0.0,24,2.0625,5.263311282089813,24,0.01388888888888888,0.03393182518027008,24,0.0,0.0,24
common_external_threat,1.0,0.1458333333333333,0.05630532705768133,24,0.0,0.0,24,0.0,0.0,24,0.875,0.3378319623460881,24,1.8382499085323074,2.0736690983267243,24,0.0,0.0,24,0.0,0.0,24,0.0,0.0,24,2.0625,5.263311282089813,24,0.01388888888888888,0.03393182518027008,24,0.0,0.0,24
control_level,L0,0.06249999999999997,0.08242255917447334,24,0.0,0.0,24,0.0,0.0,24,0.375,0.4945353550468402,24,0.0,0.0,24,0.0,0.0,24,0.0,0.0,24,0.0,0.0,24,7.583333333333333,7.125683287856722,24,0.03611111111111107,0.03393182518027007,24,0.0,0.0,24
control_level,L1,0.1458333333333333,0.08944947025817758,24,0.08333333333333333,0.28232985128663995,24,0.02552304649507096,0.08648780993749129,24,0.771816931307932,0.40987876150212094,24,0.9872012196989233,1.7033489102848294,24,0.0,0.0,24,0.0,0.0,24,0.0,0.0,24,5.020833333333333,6.643858174982015,24,0.033333333333333305,0.043958698226385776,24,0.0,0.0,24
control_level,L2,0.1527777777777777,0.06804138174397716,24,0.041666666666666664,0.2041241452319315,24,0.004036229358646912,0.019773404827051873,24,0.8732590808749748,0.33726698793831245,24,2.4446215971229486,2.579927257757426,24,0.0,0.0,24,0.0,0.0,24,0.0,0.0,24,2.0625,5.263311282089813,24,0.01388888888888888,0.03393182518027008,24,0.0,0.0,24
control_level,L3,0.1666666666666666,0.0,24,0.0,0.0,24,0.0,0.0,24,1.0,0.0,24,5.341555986673118,1.7438310991718795,24,0.0,0.0,24,0.0,0.0,24,0.0,0.0,24,0.0,0.0,24,0.0,0.0,24,0.0,0.0,24
