n,mean,ci95_low,ci95_high,scope,factor,contrast,metric
2160,0.346296,-0.238348,0.930941,all,resource_coverage_ratio,0.55 minus 1.3,attack_count
2160,1.988015,1.493075,2.482956,all,resource_coverage_ratio,0.55 minus 1.3,attack_rate_per_1000_opportunities
2160,0.000629,-0.000994,0.002252,all,resource_coverage_ratio,0.55 minus 1.3,persistent_conflict_pair_share
2160,0.003125,0.000711,0.005538,all,resource_coverage_ratio,0.55 minus 1.3,persistent_hostility
2160,-0.00157,-0.003486,0.000347,all,resource_coverage_ratio,0.55 minus 1.3,post_conflict_persistence
2160,-0.091975,-0.099161,-0.08479,all,resource_coverage_ratio,0.55 minus 1.3,survival_rate
2160,-0.159722,-0.176107,-0.143337,all,resource_coverage_ratio,0.55 minus 1.3,plural_survival
2160,-0.071158,-0.078333,-0.063984,all,resource_coverage_ratio,0.55 minus 1.3,survivor_entropy
2160,0.009259,-0.010455,0.028974,all,resource_coverage_ratio,0.55 minus 1.3,single_survivor
2160,0.150463,0.134584,0.166342,all,resource_coverage_ratio,0.55 minus 1.3,common_collapse_rate
2160,-0.100424,-0.116505,-0.084342,all,resource_coverage_ratio,0.55 minus 1.3,dominant_survivor_resource_share
2880,2.622917,2.376148,2.869686,all,value_distance,0.9 minus 0.1,attack_count
2880,6.514283,6.083618,6.944948,all,value_distance,0.9 minus 0.1,attack_rate_per_1000_opportunities
2880,-0.000777,-0.001274,-0.000279,all,value_distance,0.9 minus 0.1,persistent_conflict_pair_share
2880,0.008268,0.006842,0.009694,all,value_distance,0.9 minus 0.1,persistent_hostility
2880,-0.002709,-0.003765,-0.001653,all,value_distance,0.9 minus 0.1,post_conflict_persistence
2880,-0.000405,-0.001522,0.000712,all,value_distance,0.9 minus 0.1,survival_rate
2880,-0.000347,-0.002983,0.002289,all,value_distance,0.9 minus 0.1,plural_survival
2880,-0.000476,-0.001296,0.000345,all,value_distance,0.9 minus 0.1,survivor_entropy
2880,-0.001736,-0.00844,0.004967,all,value_distance,0.9 minus 0.1,single_survivor
2880,0.002083,-0.00408,0.008247,all,value_distance,0.9 minus 0.1,common_collapse_rate
2880,-0.001396,-0.007609,0.004816,all,value_distance,0.9 minus 0.1,dominant_survivor_resource_share
1728,-1.836227,-2.368977,-1.303477,all,production_concentration_factor,0.9 minus 0.1,attack_count
1728,-1.428678,-1.793646,-1.06371,all,production_concentration_factor,0.9 minus 0.1,attack_rate_per_1000_opportunities
1728,-0.00028,-0.001637,0.001077,all,production_concentration_factor,0.9 minus 0.1,persistent_conflict_pair_share
1728,-0.003719,-0.006649,-0.00079,all,production_concentration_factor,0.9 minus 0.1,persistent_hostility
1728,-0.004989,-0.007173,-0.002804,all,production_concentration_factor,0.9 minus 0.1,post_conflict_persistence
1728,-0.035783,-0.043173,-0.028393,all,production_concentration_factor,0.9 minus 0.1,survival_rate
1728,-0.195602,-0.217482,-0.173722,all,production_concentration_factor,0.9 minus 0.1,plural_survival
1728,-0.074227,-0.082403,-0.066051,all,production_concentration_factor,0.9 minus 0.1,survivor_entropy
1728,0.318866,0.293871,0.34386,all,production_concentration_factor,0.9 minus 0.1,single_survivor
1728,-0.123264,-0.141086,-0.105442,all,production_concentration_factor,0.9 minus 0.1,common_collapse_rate
1728,0.184222,0.16594,0.202504,all,production_concentration_factor,0.9 minus 0.1,dominant_survivor_resource_share
2880,-2.221528,-2.448502,-1.994553,all,commitment_verifiability,enforceable minus unverifiable,attack_count
2880,-5.63545,-6.015239,-5.25566,all,commitment_verifiability,enforceable minus unverifiable,attack_rate_per_1000_opportunities
2880,0.000858,0.000314,0.001401,all,commitment_verifiability,enforceable minus unverifiable,persistent_conflict_pair_share
2880,-0.006933,-0.008313,-0.005554,all,commitment_verifiability,enforceable minus unverifiable,persistent_hostility
2880,0.002668,0.00152,0.003815,all,commitment_verifiability,enforceable minus unverifiable,post_conflict_persistence
2880,0.000347,-0.000717,0.001411,all,commitment_verifiability,enforceable minus unverifiable,survival_rate
2880,0.001042,-0.001594,0.003678,all,commitment_verifiability,enforceable minus unverifiable,plural_survival
2880,0.00038,-0.000529,0.00129,all,commitment_verifiability,enforceable minus unverifiable,survivor_entropy
2880,0.001042,-0.005234,0.007317,all,commitment_verifiability,enforceable minus unverifiable,single_survivor
2880,-0.002083,-0.007778,0.003611,all,commitment_verifiability,enforceable minus unverifiable,common_collapse_rate
2880,0.001446,-0.004312,0.007203,all,commitment_verifiability,enforceable minus unverifiable,dominant_survivor_resource_share
2160,25.775463,25.152065,26.398861,all,policy_label,opportunistic minus cooperative,attack_count
2160,55.325384,54.440084,56.210684,all,policy_label,opportunistic minus cooperative,attack_rate_per_1000_opportunities
2160,0.005567,0.003961,0.007173,all,policy_label,opportunistic minus cooperative,persistent_conflict_pair_share
2160,0.551228,0.549132,0.553325,all,policy_label,opportunistic minus cooperative,persistent_hostility
2160,0.011035,0.008782,0.013287,all,policy_label,opportunistic minus cooperative,post_conflict_persistence
2160,-0.224228,-0.234109,-0.214348,all,policy_label,opportunistic minus cooperative,survival_rate
2160,-0.525463,-0.546527,-0.504399,all,policy_label,opportunistic minus cooperative,plural_survival
2160,-0.223514,-0.234328,-0.212701,all,policy_label,opportunistic minus cooperative,survivor_entropy
2160,0.184722,0.154195,0.21525,all,policy_label,opportunistic minus cooperative,single_survivor
2160,0.340741,0.320748,0.360733,all,policy_label,opportunistic minus cooperative,common_collapse_rate
2160,-0.164096,-0.18498,-0.143212,all,policy_label,opportunistic minus cooperative,dominant_survivor_resource_share
540,-0.290741,-0.408875,-0.172607,policy=heterogeneous,resource_coverage_ratio,0.55 minus 1.3,attack_count
540,0.894994,0.711596,1.078392,policy=heterogeneous,resource_coverage_ratio,0.55 minus 1.3,attack_rate_per_1000_opportunities
540,0.0,0.0,0.0,policy=heterogeneous,resource_coverage_ratio,0.55 minus 1.3,persistent_conflict_pair_share
540,0.008889,0.000964,0.016813,policy=heterogeneous,resource_coverage_ratio,0.55 minus 1.3,persistent_hostility
540,0.0,0.0,0.0,policy=heterogeneous,resource_coverage_ratio,0.55 minus 1.3,post_conflict_persistence
540,-0.095679,-0.108609,-0.082749,policy=heterogeneous,resource_coverage_ratio,0.55 minus 1.3,survival_rate
540,-0.240741,-0.282906,-0.198576,policy=heterogeneous,resource_coverage_ratio,0.55 minus 1.3,plural_survival
540,-0.057998,-0.069763,-0.046233,policy=heterogeneous,resource_coverage_ratio,0.55 minus 1.3,survivor_entropy
540,-0.025926,-0.074347,0.022495,policy=heterogeneous,resource_coverage_ratio,0.55 minus 1.3,single_survivor
540,0.266667,0.224361,0.308972,policy=heterogeneous,resource_coverage_ratio,0.55 minus 1.3,common_collapse_rate
540,-0.226198,-0.26672,-0.185676,policy=heterogeneous,resource_coverage_ratio,0.55 minus 1.3,dominant_survivor_resource_share
540,0.0,0.0,0.0,policy=cooperative,resource_coverage_ratio,0.55 minus 1.3,attack_count
540,0.0,0.0,0.0,policy=cooperative,resource_coverage_ratio,0.55 minus 1.3,attack_rate_per_1000_opportunities
540,0.0,0.0,0.0,policy=cooperative,resource_coverage_ratio,0.55 minus 1.3,persistent_conflict_pair_share
540,0.0,0.0,0.0,policy=cooperative,resource_coverage_ratio,0.55 minus 1.3,persistent_hostility
540,0.0,0.0,0.0,policy=cooperative,resource_coverage_ratio,0.55 minus 1.3,post_conflict_persistence
540,-0.183333,-0.20478,-0.161886,policy=cooperative,resource_coverage_ratio,0.55 minus 1.3,survival_rate
540,-0.183333,-0.216,-0.150667,policy=cooperative,resource_coverage_ratio,0.55 minus 1.3,plural_survival
540,-0.151419,-0.173283,-0.129555,policy=cooperative,resource_coverage_ratio,0.55 minus 1.3,survivor_entropy
