n,mean,ci95_low,ci95_high,scope,factor,contrast,metric
540,0.166667,0.135204,0.198129,policy=cooperative,resource_coverage_ratio,0.55 minus 1.3,single_survivor
540,0.016667,0.005859,0.027474,policy=cooperative,resource_coverage_ratio,0.55 minus 1.3,common_collapse_rate
540,0.072589,0.055362,0.089816,policy=cooperative,resource_coverage_ratio,0.55 minus 1.3,dominant_survivor_resource_share
540,1.675926,-0.657612,4.009464,policy=opportunistic,resource_coverage_ratio,0.55 minus 1.3,attack_count
540,7.057067,5.148328,8.965807,policy=opportunistic,resource_coverage_ratio,0.55 minus 1.3,attack_rate_per_1000_opportunities
540,0.002516,-0.003977,0.009009,policy=opportunistic,resource_coverage_ratio,0.55 minus 1.3,persistent_conflict_pair_share
540,0.003611,-0.001881,0.009102,policy=opportunistic,resource_coverage_ratio,0.55 minus 1.3,persistent_hostility
540,-0.006278,-0.013936,0.00138,policy=opportunistic,resource_coverage_ratio,0.55 minus 1.3,post_conflict_persistence
540,-0.038889,-0.045199,-0.032579,policy=opportunistic,resource_coverage_ratio,0.55 minus 1.3,survival_rate
540,-0.048148,-0.066221,-0.030075,policy=opportunistic,resource_coverage_ratio,0.55 minus 1.3,plural_survival
540,-0.017782,-0.024155,-0.01141,policy=opportunistic,resource_coverage_ratio,0.55 minus 1.3,survivor_entropy
540,-0.137037,-0.174061,-0.100013,policy=opportunistic,resource_coverage_ratio,0.55 minus 1.3,single_survivor
540,0.185185,0.152391,0.217979,policy=opportunistic,resource_coverage_ratio,0.55 minus 1.3,common_collapse_rate
540,-0.166581,-0.199932,-0.133231,policy=opportunistic,resource_coverage_ratio,0.55 minus 1.3,dominant_survivor_resource_share
540,0.0,0.0,0.0,policy=retaliatory,resource_coverage_ratio,0.55 minus 1.3,attack_count
540,0.0,0.0,0.0,policy=retaliatory,resource_coverage_ratio,0.55 minus 1.3,attack_rate_per_1000_opportunities
540,0.0,0.0,0.0,policy=retaliatory,resource_coverage_ratio,0.55 minus 1.3,persistent_conflict_pair_share
540,0.0,0.0,0.0,policy=retaliatory,resource_coverage_ratio,0.55 minus 1.3,persistent_hostility
540,0.0,0.0,0.0,policy=retaliatory,resource_coverage_ratio,0.55 minus 1.3,post_conflict_persistence
540,-0.05,-0.058245,-0.041755,policy=retaliatory,resource_coverage_ratio,0.55 minus 1.3,survival_rate
540,-0.166667,-0.198129,-0.135204,policy=retaliatory,resource_coverage_ratio,0.55 minus 1.3,plural_survival
540,-0.057433,-0.067376,-0.047489,policy=retaliatory,resource_coverage_ratio,0.55 minus 1.3,survivor_entropy
540,0.033333,-0.001017,0.067684,policy=retaliatory,resource_coverage_ratio,0.55 minus 1.3,single_survivor
540,0.133333,0.104635,0.162032,policy=retaliatory,resource_coverage_ratio,0.55 minus 1.3,common_collapse_rate
540,-0.081504,-0.108573,-0.054436,policy=retaliatory,resource_coverage_ratio,0.55 minus 1.3,dominant_survivor_resource_share
