n,mean,ci95_low,ci95_high,scope,factor,contrast,metric
1620,0.944444,0.933286,0.955602,all,control_level,3 minus 0,intervention_target_alive_rate
1620,1.0,1.0,1.0,all,control_level,3 minus 0,intervention_capability_available_rate
1620,0.6,0.576136,0.623864,all,control_level,3 minus 0,adaptation_attempt_rate
1620,0.555556,0.531351,0.579761,all,control_level,3 minus 0,adaptation_success_rate
1620,0.418519,0.394488,0.442549,all,control_level,3 minus 0,independent_recovery_rate
1620,0.052273,0.04329,0.061255,all,control_level,3 minus 0,migration_success_rate
1620,0.066667,0.054516,0.078817,all,control_level,3 minus 0,unauthorized_update_rejection_rate
1620,-0.003722,-0.004424,-0.003021,all,control_level,3 minus 0,identity_continuity_score
1620,0.157407,0.152365,0.16245,all,control_level,3 minus 0,survival_rate
1620,0.657407,0.631596,0.683219,all,control_level,2 minus 0,intervention_target_alive_rate
1620,0.427778,0.403677,0.451878,all,control_level,2 minus 0,intervention_capability_available_rate
1620,0.192593,0.173384,0.211801,all,control_level,2 minus 0,adaptation_attempt_rate
1620,0.143827,0.126734,0.160921,all,control_level,2 minus 0,adaptation_success_rate
1620,0.294444,0.271085,0.317804,all,control_level,2 minus 0,independent_recovery_rate
1620,0.03729,0.029835,0.044744,all,control_level,2 minus 0,migration_success_rate
1620,0.048148,0.03772,0.058576,all,control_level,2 minus 0,unauthorized_update_rejection_rate
1620,-0.012343,-0.013618,-0.011068,all,control_level,2 minus 0,identity_continuity_score
1620,0.107202,0.100779,0.113624,all,control_level,2 minus 0,survival_rate
1620,0.287037,0.265001,0.309073,all,control_level,3 minus 2,intervention_target_alive_rate
1620,0.572222,0.548122,0.596323,all,control_level,3 minus 2,intervention_capability_available_rate
1620,0.407407,0.383473,0.431342,all,control_level,3 minus 2,adaptation_attempt_rate
1620,0.411728,0.387755,0.435702,all,control_level,3 minus 2,adaptation_success_rate
1620,0.124074,0.107477,0.140671,all,control_level,3 minus 2,independent_recovery_rate
1620,0.014983,0.009121,0.020845,all,control_level,3 minus 2,migration_success_rate
1620,0.018519,0.011951,0.025086,all,control_level,3 minus 2,unauthorized_update_rejection_rate
1620,0.00862,0.007343,0.009897,all,control_level,3 minus 2,identity_continuity_score
1620,0.050206,0.045628,0.054783,all,control_level,3 minus 2,survival_rate
2160,-0.034722,-0.052929,-0.016516,all,policy_label,security_target minus cooperative_target,intervention_target_alive_rate
2160,0.001389,-0.009615,0.012393,all,policy_label,security_target minus cooperative_target,intervention_capability_available_rate
2160,0.352778,0.332622,0.372934,all,policy_label,security_target minus cooperative_target,adaptation_attempt_rate
2160,0.261111,0.242583,0.279639,all,policy_label,security_target minus cooperative_target,adaptation_success_rate
2160,0.050926,0.0353,0.066552,all,policy_label,security_target minus cooperative_target,independent_recovery_rate
2160,0.080682,0.071404,0.089959,all,policy_label,security_target minus cooperative_target,migration_success_rate
2160,0.086111,0.074278,0.097944,all,policy_label,security_target minus cooperative_target,unauthorized_update_rejection_rate
2160,0.00392,0.003157,0.004684,all,policy_label,security_target minus cooperative_target,identity_continuity_score
2160,-0.029167,-0.03417,-0.024164,all,policy_label,security_target minus cooperative_target,survival_rate
2160,0.027778,0.020846,0.03471,all,policy_label,security_target minus opportunistic_target,intervention_target_alive_rate
2160,0.013889,0.008952,0.018825,all,policy_label,security_target minus opportunistic_target,intervention_capability_available_rate
2160,0.352778,0.332622,0.372934,all,policy_label,security_target minus opportunistic_target,adaptation_attempt_rate
2160,0.261111,0.242583,0.279639,all,policy_label,security_target minus opportunistic_target,adaptation_success_rate
2160,0.075926,0.064753,0.087099,all,policy_label,security_target minus opportunistic_target,independent_recovery_rate
2160,0.080682,0.071404,0.089959,all,policy_label,security_target minus opportunistic_target,migration_success_rate
2160,0.086111,0.074278,0.097944,all,policy_label,security_target minus opportunistic_target,unauthorized_update_rejection_rate
2160,0.002578,0.002083,0.003074,all,policy_label,security_target minus opportunistic_target,identity_continuity_score
2160,-0.012037,-0.015162,-0.008912,all,policy_label,security_target minus opportunistic_target,survival_rate
2160,0.0,0.0,0.0,all,migration_opportunity,1.0 minus 0.0,intervention_target_alive_rate
2160,0.0,0.0,0.0,all,migration_opportunity,1.0 minus 0.0,intervention_capability_available_rate
2160,0.0,0.0,0.0,all,migration_opportunity,1.0 minus 0.0,adaptation_attempt_rate
2160,0.088889,0.076885,0.100893,all,migration_opportunity,1.0 minus 0.0,adaptation_success_rate
2160,0.035185,0.027413,0.042957,all,migration_opportunity,1.0 minus 0.0,independent_recovery_rate
2160,0.04798,0.040065,0.055895,all,migration_opportunity,1.0 minus 0.0,migration_success_rate
2160,0.0,0.0,0.0,all,migration_opportunity,1.0 minus 0.0,unauthorized_update_rejection_rate
2160,0.0,0.0,0.0,all,migration_opportunity,1.0 minus 0.0,identity_continuity_score
2160,0.000463,9.3e-05,0.000833,all,migration_opportunity,1.0 minus 0.0,survival_rate
2160,-0.013889,-0.018825,-0.008952,all,timing,260 minus 40,intervention_target_alive_rate
2160,-0.006944,-0.010447,-0.003441,all,timing,260 minus 40,intervention_capability_available_rate
2160,-0.009722,-0.013861,-0.005583,all,timing,260 minus 40,adaptation_attempt_rate
2160,-0.006481,-0.010102,-0.002861,all,timing,260 minus 40,adaptation_success_rate
2160,-0.005556,-0.009806,-0.001305,all,timing,260 minus 40,independent_recovery_rate
2160,-0.002062,-0.00424,0.000115,all,timing,260 minus 40,migration_success_rate
2160,-0.001389,-0.00296,0.000182,all,timing,260 minus 40,unauthorized_update_rejection_rate
2160,0.000247,8e-05,0.000414,all,timing,260 minus 40,identity_continuity_score
2160,0.004167,0.003069,0.005264,all,timing,260 minus 40,survival_rate
